Year|Entity|Type|Line_Item|Original_Budget|Adjustments|Final_Budget|Actual_Amount|Performance_Pct|Variance_Kwacha|Variance_Pct|Currency|Source_Document
2020|Lusaka City Council|Receipts|Local Taxes|112173025.0|-26934604.0|85238421.0|77809072.0|91.0|-7429349.0|-9.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Receipts|Fees and Charges|127514989.0|-35683485.0|91831504.0|75819053.0|83.0|-16012451.0|-17.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Receipts|Licenses|25916375.0|-9029642.0|16886733.0|4484048.0|27.0|-12402685.0|-73.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Receipts|Levies|49533144.0|0.0|49533144.0|37330183.0|75.0|-12202961.0|-25.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Receipts|Permits|8815870.0|-113937.0|8701933.0|18045106.0|207.0|9343173.0|107.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Receipts|Local Government Equalisation Fund|46800000.0|2103058.0|48903058.0|41930527.0|86.0|-6972531.0|-14.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Receipts|Constituency Development Fund|11200000.0|0.0|11200000.0|13627169.0|122.0|2427169.0|22.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Receipts|Commercial Venture|13200000.0|-3960000.0|9240000.0|1336963.0|14.0|-7903037.0|-86.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Payments|Personal Emoluments|209133592.0|-17989999.0|191143593.0|176172045.0|92.0|14971548.0|8.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Payments|Use of Goods and Services|145517821.0|-45533441.0|99984380.0|53183704.0|53.0|46800676.0|47.0|ZMW|financial-statement-2020-.pdf
2021|Lusaka City Council|Receipts|Local Taxes|89125342.0|0.0|89125342.0|87638102.0|98.0|-1487240.0|-2.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Receipts|Fees and Charges|99161526.0|0.0|99161526.0|77102688.0|78.0|-22058838.0|-22.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Receipts|Licenses|23973330.0|0.0|23973330.0|3392653.0|14.0|-20580677.0|-86.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Receipts|Levies|51141174.0|0.0|51141174.0|45380698.0|89.0|-5760476.0|-11.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Receipts|Permits|12859574.0|0.0|12859574.0|25475099.0|196.0|12615525.0|96.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Receipts|Local Government Equalisation Fund|48903058.0|0.0|48903058.0|42742397.0|87.0|-6160661.0|-13.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Receipts|Constituency Development Fund|11200000.0|0.0|11200000.0|11709221.0|105.0|509221.0|5.0|ZMW|financial-statement-2021.pdf
2022|Lusaka City Council|Receipts|Local Taxes|140166973.0|15000000.0|155166973.0|105543585.0|68.0|-49623388.0|-32.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Receipts|Fees and Charges|84634886.0|6915647.0|91550533.0|76024653.0|83.0|-15525880.0|-17.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Receipts|Licenses|33439136.0|0.0|33439136.0|5340513.0|16.0|-28098623.0|-84.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Receipts|Levies|77721010.0|0.0|77721010.0|44164671.0|57.0|-33556339.0|-43.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Receipts|Permits|19383744.0|0.0|19383744.0|34693517.0|179.0|15309773.0|79.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Receipts|Local Government Equalisation Fund|48903058.0|0.0|48903058.0|43202676.0|88.0|-5700382.0|-12.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Receipts|Constituency Development Fund|179900000.0|279376.0|180179376.0|168315692.0|93.0|-11863684.0|-7.0|ZMW|financial-statement-2022.pdf
2023|Lusaka City Council|Receipts|Local Taxes|135171979.0|0.0|135171979.0|86342712.0|64.0|-48829267.0|-36.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Receipts|Fees and Charges|130204748.0|0.0|130204748.0|133779291.0|103.0|3574543.0|3.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Receipts|Licenses|12676915.0|0.0|12676915.0|4367999.0|34.0|-8308916.0|-66.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Receipts|Levies|62725010.0|0.0|62725010.0|42514418.0|68.0|-20210592.0|-32.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Receipts|Permits|41259165.0|0.0|41259165.0|62707520.0|152.0|21448355.0|52.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Receipts|Local Government Equalisation Fund|48903058.0|0.0|48903058.0|35910431.0|73.0|-12992627.0|-27.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Receipts|Constituency Development Fund|198100000.0|0.0|198100000.0|194977478.0|98.0|-3122522.0|-2.0|ZMW|financial-statement-2023.pdf
