Year|Entity|Category|Sub_Item|Amount_Kwacha|Currency|Source_Document
2020|Lusaka City Council|Personal Emoluments|Salaries - Div I|10004482.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Personal Emoluments|Salaries - Div II|26348701.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Personal Emoluments|Salaries - Div III|29991051.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Personal Emoluments|Wages - Division IV|62573156.0|ZMW|financial-statement-2020-.pdf
2021|Lusaka City Council|Personal Emoluments|Salaries - Div I|8762958.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Personal Emoluments|Salaries - Div II|30748721.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Personal Emoluments|Salaries - Div III|32864667.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Personal Emoluments|Wages - Division IV|61918934.0|ZMW|financial-statement-2021.pdf
2022|Lusaka City Council|Personal Emoluments|Salaries - Div I|28162762.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Personal Emoluments|Salaries - Div II|32714438.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Personal Emoluments|Salaries - Div III|53012445.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Personal Emoluments|Wages - Division IV|85859810.0|ZMW|financial-statement-2022.pdf
2023|Lusaka City Council|Personal Emoluments|Total Personal Emoluments & Welfare|328133478.0|ZMW|financial-statement-2023.pdf
2020|Lusaka City Council|Use of Goods and Services|Total Use of Goods and Services|53183704.0|ZMW|financial-statement-2020-.pdf
2021|Lusaka City Council|Use of Goods and Services|Total Use of Goods and Services|104730796.0|ZMW|financial-statement-2021.pdf
2022|Lusaka City Council|Use of Goods and Services|Total Use of Goods and Services|115173995.0|ZMW|financial-statement-2022.pdf
2023|Lusaka City Council|Use of Goods and Services|Total Use of Goods and Services|93890942.0|ZMW|financial-statement-2023.pdf
2020|Lusaka City Council|Provision of Services|Waste and Refuse Collection|5520082.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Provision of Services|Hire of Plant and Equipment|2310361.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Provision of Services|Staff Welfare and Recreation|1741212.0|ZMW|financial-statement-2020-.pdf
2021|Lusaka City Council|Provision of Services|Hire of Plant and Equipment|4038326.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Provision of Services|Staff Welfare and Recreation|3520735.0|ZMW|financial-statement-2021.pdf
2022|Lusaka City Council|Provision of Services|Waste and Refuse Collection|1235059.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Provision of Services|Hire of Plant and Equipment|5049852.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Provision of Services|Staff Welfare and Recreation|3812542.0|ZMW|financial-statement-2022.pdf
2023|Lusaka City Council|Provision of Services|Waste and Refuse Collection|516960.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Provision of Services|Hire of Plant and Equipment|2153166.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Provision of Services|Staff Welfare and Recreation|2800820.0|ZMW|financial-statement-2023.pdf
