Year|Category|Line_Item|Amount_Kwacha|Source_Document|Source_Section
2020|Receipts|Local Taxes|77809072.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Fees and Charges|75819053.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Licenses|4484048.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Levies|37330183.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Permits|18045106.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Local Government Equalisation Fund|41930527.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Constituency Development Fund|13627169.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Other Grants|0.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Borrowings|0.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Commercial Venture|1336963.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Receipts|Other Receipts|0.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Summary|Total Receipts|270382122.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Payments|Personal Emoluments|176172045.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Payments|Use of Goods and Services|53183704.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Payments|Financial Charges|4381455.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Payments|Grants and Other Payments|132680.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Payments|Non-Financial Assets Acquisition|7111459.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Payments|Financial Assets|0.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Payments|Loan Repayments|6796193.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Payments|Other Payments|21001119.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Summary|Total Payments|268778655.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Summary|Increase/(Decrease) in Cash|1603467.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Summary|Cash at Beginning of Year|9776904.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2020|Summary|Cash at End of Year|11380371.00|financial-statement-2020-.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Local Taxes|87638102.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Fees and Charges|77102688.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Licenses|3392653.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Levies|45380698.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Permits|25475099.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Local Government Equalisation Fund|42742397.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Constituency Development Fund|11709221.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Other Grants|349942.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Borrowings|0.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Commercial Venture|3230000.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Receipts|Other Receipts|64204581.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Summary|Total Receipts|361225380.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Payments|Personal Emoluments|198347001.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Payments|Use of Goods and Services|104730796.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Payments|Financial Charges|3246379.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Payments|Social Benefits|0.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Payments|Non-Financial Assets Acquisition|10869216.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Payments|Financial Assets|0.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Payments|Loan Repayments|7911457.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Payments|Other Payments|42907068.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Summary|Total Payments|368011917.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Summary|Increase/(Decrease) in Cash|-6786537.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Summary|Cash at Beginning of Year|11380371.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2021|Summary|Cash at End of Year|4593834.00|financial-statement-2021.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Local Taxes|105543585.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Fees and Charges|76024653.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Licenses|5340513.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Levies|44164671.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Permits|34693517.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Local Government Equalisation Fund|43202676.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Constituency Development Fund|168315692.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Other Grants|0.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Borrowings|27000000.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Commercial Venture|6988153.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Receipts|Other Receipts|5874366.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Summary|Total Receipts|517147828.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Payments|Personal Emoluments|201513358.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Payments|Use of Goods and Services|115173995.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Payments|Financial Charges|843021.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Payments|Social Benefits|0.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Payments|Non-Financial Assets Acquisition|7428105.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Payments|Financial Assets|0.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Payments|Loan Repayments|6216243.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Payments|Other Payments|5204606.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Summary|Total Payments|336379328.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Summary|Increase/(Decrease) in Cash|180768500.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Summary|Cash at Beginning of Year|4593834.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2022|Summary|Cash at End of Year|185362334.00|financial-statement-2022.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Local Taxes|86342712.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Fees and Charges|133779291.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Licenses|4367999.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Levies|42514418.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Permits|62707521.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Local Government Equalisation Fund|35910430.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Constituency Development Fund|194977478.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Other Grants|6967563.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Borrowings|0.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
2023|Receipts|Commercial Venture|2700000.00|financial-statement-2023.pdf|Statement of Cash Receipts and Payments
