Year|Entity|Section|Item|Amount_Kwacha|Currency|Source_Document
2020|Lusaka City Council|Funding|Total Funding Received|41930527.0|ZMW|financial-statement-2020-.pdf
2021|Lusaka City Council|Funding|Total Funding Received|42742397.0|ZMW|financial-statement-2021.pdf
2022|Lusaka City Council|Funding|Total Funding Received|43202676.0|ZMW|financial-statement-2022.pdf
2023|Lusaka City Council|Funding|Total Funding Received|35910430.0|ZMW|financial-statement-2023.pdf
2020|Lusaka City Council|Operational Expenditure|Salaries and Wages|17043255.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Operational Expenditure|Terminal Benefits|757133.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Operational Expenditure|Utility bills|200017.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Operational Expenditure|Service Provision|9468191.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Operational Expenditure|Goods and Services - Administrative Costs|4458836.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Operational Expenditure|Sub-Total Operational Expenditure|31927432.0|ZMW|financial-statement-2020-.pdf
2021|Lusaka City Council|Operational Expenditure|Salaries and Wages|21446183.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Operational Expenditure|Terminal Benefits|642982.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Operational Expenditure|Utility bills|904147.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Operational Expenditure|Service Provision|6146529.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Operational Expenditure|Goods and Services - Administrative Costs|1291262.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Operational Expenditure|Other Costs|3808553.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Operational Expenditure|Sub-Total Operational Expenditure|34239655.0|ZMW|financial-statement-2021.pdf
2022|Lusaka City Council|Operational Expenditure|Salaries and Wages|8821474.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Operational Expenditure|Terminal Benefits|1878090.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Operational Expenditure|Utility bills|1215918.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Operational Expenditure|Service Provision|5339852.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Operational Expenditure|Goods and Services - Administrative Costs|10284354.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Operational Expenditure|Other Costs|5779177.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Operational Expenditure|Sub-Total Operational Expenditure|33318864.0|ZMW|financial-statement-2022.pdf
2023|Lusaka City Council|Operational Expenditure|Salaries and Wages|19273241.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Operational Expenditure|Terminal Benefits|955536.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Operational Expenditure|Utility bills|525647.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Operational Expenditure|Service Provision|1470875.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Operational Expenditure|Goods and Services - Administrative Costs|9641081.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Operational Expenditure|Other Costs|2697583.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Operational Expenditure|Sub-Total Operational Expenditure|34563962.0|ZMW|financial-statement-2023.pdf
2020|Lusaka City Council|Capital Expenditure|Infrastructure Development|1213890.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Capital Expenditure|Rehabilitation Works|526260.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Capital Expenditure|Service delivery (Capital)|1001190.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Capital Expenditure|Asset Acquisition|4720482.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Capital Expenditure|Sub-Total Capital Expenditure|7461823.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Total|Total LGEF Payments|39389255.0|ZMW|financial-statement-2020-.pdf
2021|Lusaka City Council|Capital Expenditure|Infrastructure Development|433952.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Capital Expenditure|Rehabilitation Works|697410.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Capital Expenditure|Service delivery (Capital)|229128.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Capital Expenditure|Asset Acquisition|7142251.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Capital Expenditure|Sub-Total Capital Expenditure|8502742.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Total|Total LGEF Payments|42742397.0|ZMW|financial-statement-2021.pdf
2022|Lusaka City Council|Capital Expenditure|Infrastructure Development|25420.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Capital Expenditure|Rehabilitation Works|1438468.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Capital Expenditure|Service delivery (Capital)|643246.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Capital Expenditure|Asset Acquisition|4286922.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Capital Expenditure|Sub-Total Capital Expenditure|6394055.0|ZMW|financial-statement-2022.pdf
2022|Lusaka City Council|Total|Total LGEF Payments|39712919.0|ZMW|financial-statement-2022.pdf
2023|Lusaka City Council|Capital Expenditure|Infrastructure Development|1005895.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Capital Expenditure|Rehabilitation Works|484554.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Capital Expenditure|Service delivery (Capital)|2408874.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Capital Expenditure|Asset Acquisition|936902.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Capital Expenditure|Sub-Total Capital Expenditure|4836225.0|ZMW|financial-statement-2023.pdf
2023|Lusaka City Council|Total|Total LGEF Payments|39400187.0|ZMW|financial-statement-2023.pdf
