Year|Entity|Stream|Sub_Item|Amount_Kwacha|Currency|Source_Document
2020|Lusaka City Council|Local Taxes|Residential Rates|35300101.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Local Taxes|Industrial / Commercial Rates|39311429.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Local Taxes|Personal Levy|3197542.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Fees and Charges|Plan Scrutiny|10844646.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Fees and Charges|Market Fees|6154456.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Fees and Charges|Parking Fees|5581609.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Fees and Charges|Billboards and Banners|8929189.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Fees and Charges|Refuse Disposal|6377077.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Fees and Charges|Ground Rent/Site Rent|5895889.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Licenses|Trading Licenses|4484048.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Levies|Fire Levy|37330183.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Permits|Building Permits|18045106.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Grants|Local Government Equalisation Fund|41930527.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Grants|Constituency Development Fund|13627169.0|ZMW|financial-statement-2020-.pdf
2020|Lusaka City Council|Commercial Venture|Commercial Operations|1336963.0|ZMW|financial-statement-2020-.pdf
2021|Lusaka City Council|Local Taxes|Residential Rates|42042667.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Local Taxes|Industrial / Commercial Rates|42628407.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Local Taxes|Personal Levy|2967028.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Fees and Charges|Plan Scrutiny|10020731.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Fees and Charges|Market Fees|6271823.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Fees and Charges|Parking Fees|4811771.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Fees and Charges|Billboards and Banners|10499909.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Fees and Charges|Ground Rent/Site Rent|8990529.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Licenses|Trading Licenses|3392653.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Levies|Fire Levy|45380698.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Permits|Building Permits|25475099.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Grants|Local Government Equalisation Fund|42742397.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Grants|Constituency Development Fund|11709221.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Grants|Other Grants|349942.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Commercial Venture|Commercial Operations|3230000.0|ZMW|financial-statement-2021.pdf
2021|Lusaka City Council|Other Receipts|Miscellaneous Income|64204581.0|ZMW|financial-statement-2021.pdf
2022|Lusaka City Council|Local Taxes|Residential Rates|54713612.0|ZMW|financial-statement-2022.pdf
