record_id|financial_year|constituency|allocation_category|approved_allocation_zmw|amount_disbursed_zmw|amount_spent_zmw|unspent_balance_zmw|source_title|source_url|date_accessed|notes
LCC-CDF-ALLOC-001|2023|All seven Lusaka constituencies|CDF Community projects - fixed asset acquisition|||6867103||Lusaka City Council 2024 Financial Statement|https://www.lcc.gov.zm/wp-content/uploads/2025/11/Lusaka-City-Council-2024-Financial-statement-.pdf|2026-09-14|Comparative 2023 amount reported under buildings and structures in the 2024 financial statement.
LCC-CDF-ALLOC-002|2023|All seven Lusaka constituencies|CDF Motor vehicles - fixed asset acquisition|||13720624||Lusaka City Council 2024 Financial Statement|https://www.lcc.gov.zm/wp-content/uploads/2025/11/Lusaka-City-Council-2024-Financial-statement-.pdf|2026-09-14|Comparative 2023 CDF motor-vehicle acquisition reported in the 2024 financial statement.
LCC-CDF-ALLOC-003|2023|All seven Lusaka constituencies|CDF Specialised vehicles - fixed asset acquisition|||3910440||Lusaka City Council 2024 Financial Statement|https://www.lcc.gov.zm/wp-content/uploads/2025/11/Lusaka-City-Council-2024-Financial-statement-.pdf|2026-09-14|Comparative 2023 CDF specialised-vehicle acquisition reported in the 2024 financial statement.
LCC-CDF-ALLOC-004|2023|All seven Lusaka constituencies|CDF funding received||190589326|||Lusaka City Council 2024 Financial Statement|https://www.lcc.gov.zm/wp-content/uploads/2025/11/Lusaka-City-Council-2024-Financial-statement-.pdf|2026-09-14|Comparative 2023 CDF funding receipt reported in the 2024 financial statement. This is a receipt, not the approved annual allocation.
LCC-CDF-ALLOC-005|2024|All seven Lusaka constituencies|CDF Administration|10722475||||Lusaka City Council 2024 Budget|https://www.lcc.gov.zm/wp-content/uploads/2025/04/LUSAKA-CITY-COUNCIL-2024-BUDGET.pdf|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-006|2024|All seven Lusaka constituencies|CDF Community projects - fixed asset acquisition|||37979780||Lusaka City Council 2024 Financial Statement|https://www.lcc.gov.zm/wp-content/uploads/2025/11/Lusaka-City-Council-2024-Financial-statement-.pdf|2026-09-14|Reported under buildings and structures in the 2024 financial statement. This represents reported fixed-asset acquisition, not necessarily total CDF project expenditure.
LCC-CDF-ALLOC-007|2024|All seven Lusaka constituencies|CDF School desks - fixed asset acquisition|||4426946||Lusaka City Council 2024 Financial Statement|https://www.lcc.gov.zm/wp-content/uploads/2025/11/Lusaka-City-Council-2024-Financial-statement-.pdf|2026-09-14|Reported under other assets in the 2024 financial statement. This is a specific asset-acquisition figure and not total CDF expenditure.
LCC-CDF-ALLOC-008|2024|All seven Lusaka constituencies|CDF funding received||53781268|||Lusaka City Council 2024 Financial Statement|https://www.lcc.gov.zm/wp-content/uploads/2025/11/Lusaka-City-Council-2024-Financial-statement-.pdf|2026-09-14|Council-reported CDF funding receipt for 2024. This is a receipt, not the approved annual allocation.
LCC-CDF-ALLOC-009|2024|All seven Lusaka constituencies|Community Projects|122236211||||Lusaka City Council 2024 Budget|https://www.lcc.gov.zm/wp-content/uploads/2025/04/LUSAKA-CITY-COUNCIL-2024-BUDGET.pdf|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table. The exact subprogramme table reports ZMW 122,236,211. A nearby narrative mentions approximately ZMW 128.3 million; the exact table value was retained.
LCC-CDF-ALLOC-010|2024|All seven Lusaka constituencies|Secondary School and Skills Development Bursaries|40745404||||Lusaka City Council 2024 Budget|https://www.lcc.gov.zm/wp-content/uploads/2025/04/LUSAKA-CITY-COUNCIL-2024-BUDGET.pdf|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-011|2024|All seven Lusaka constituencies|Women and Youth Empowerment|40745404||||Lusaka City Council 2024 Budget|https://www.lcc.gov.zm/wp-content/uploads/2025/04/LUSAKA-CITY-COUNCIL-2024-BUDGET.pdf|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-012|2025|All seven Lusaka constituencies|CDF Administration|11473048||||Lusaka City Council Approved 2025 Budget - Yellow Book|https://www.lcc.gov.zm/wp-content/uploads/2025/04/LUSAKA-CITY-COUNCIL-APPROVED-2025-BUDGET-YELLOW-BOOK.pdf|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-013|2025|All seven Lusaka constituencies|Community Projects|153738842||||Lusaka City Council Approved 2025 Budget - Yellow Book|https://www.lcc.gov.zm/wp-content/uploads/2025/04/LUSAKA-CITY-COUNCIL-APPROVED-2025-BUDGET-YELLOW-BOOK.pdf|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-014|2025|All seven Lusaka constituencies|Secondary School and Skills Development Bursaries|43597582||||Lusaka City Council Approved 2025 Budget - Yellow Book|https://www.lcc.gov.zm/wp-content/uploads/2025/04/LUSAKA-CITY-COUNCIL-APPROVED-2025-BUDGET-YELLOW-BOOK.pdf|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-015|2025|All seven Lusaka constituencies|Women and Youth Empowerment|43597582||||Lusaka City Council Approved 2025 Budget - Yellow Book|https://www.lcc.gov.zm/wp-content/uploads/2025/04/LUSAKA-CITY-COUNCIL-APPROVED-2025-BUDGET-YELLOW-BOOK.pdf|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-016|2026|All seven Lusaka constituencies|CDF Administration|12763059||||Lusaka City Council 2026 Yellow Book|https://www.lcc.gov.zm/publications/|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-017|2026|All seven Lusaka constituencies|Community Projects|170465541||||Lusaka City Council 2026 Yellow Book|https://www.lcc.gov.zm/publications/|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-018|2026|All seven Lusaka constituencies|Secondary School and Skills Development Bursaries|48499625||||Lusaka City Council 2026 Yellow Book|https://www.lcc.gov.zm/publications/|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
LCC-CDF-ALLOC-019|2026|All seven Lusaka constituencies|Women and Youth Empowerment|48499625||||Lusaka City Council 2026 Yellow Book|https://www.lcc.gov.zm/publications/|2026-09-14|Approved annual budget estimate covering all seven Lusaka constituencies. Disbursement, expenditure and unspent balance were not reported in this budget table.
