record_id|financial_year|constituency|ward|project_name|project_category|project_description|approved_budget_zmw|amount_disbursed_zmw|amount_spent_zmw|project_status|completion_percentage|approval_date|completion_date|beneficiaries|contractor|source_title|source_url|date_accessed|notes
LCC-CDF-PROJ-2025-001|2025|Chawama|Lilayi Ward 4|Construction of a Community Hall for Event,Gatherings and others activities|Community and recreation|Construction of a Community Hall for Event,Gatherings and others activities|2000000|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-002|2025|Chawama|Lilayi Ward 4|Installation of streetligthts along Petroda road in Lilayi|Roads and drainage|Installation of streetligthts along Petroda road in Lilayi|560000|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-003|2025|Chawama|Lilayi Ward 4|Construction of the stone based road in Miller|Roads and drainage|Construction of the stone based road in Miller|1200000|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-004|2025|Chawama|Chawama Ward 2|Paving of the Jesus is the King Road in Eye Clinic|Roads and drainage|Paving of the Jesus is the King Road in Eye Clinic|2339305|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-005|2025|Chawama|Chawama Ward 2|Completion of Chawama Secondary School with 270 desks|Education|Completion of Chawama Secondary School with 270 desks|4261821|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-006|2025|Chawama|John Howard Ward|Paving of Damakiso School Road(300meters)|Roads and drainage|Paving of Damakiso School Road(300meters)|1023497|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-007|2025|Chawama|John Howard Ward|Replacement of clogged water pipes|Water and sanitation|Replacement of clogged water pipes|2238689|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-008|2025|Chawama|Nkoloma Ward 1|Paving of Chuma Chiyenda road and drainage construction|Roads and drainage|Paving of Chuma Chiyenda road and drainage construction|2024693|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-009|2025|Chawama|Nkoloma Ward 1|Completion of Kuku Police Post Phase 2|Public safety|Completion of Kuku Police Post Phase 2|2100500|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
LCC-CDF-PROJ-2025-010|2025|Kabwata|Kamwala Ward|Construction Of The Local Courtmaxwell Sibongo Police Post|Public safety|Construction Of The Local Courtmaxwell Sibongo Police Post|1980900|||Planned||||||Lusaka City Council CDF Projects for the Year 2025|https://www.lcc.gov.zm/publications/|2026-09-14|Listed in the official LCC 2025 CDF community-project schedule with an approved project amount. Implementation progress, disbursement, expenditure, contractor, beneficiaries and completion dates were not reported in this source.
