record_id|source_post_id|publication_date|title|constituencies|wards|article_text|source_url|date_accessed
LCC-CDF-ARTICLE-001|7730|2025-11-26|KABWATA CDF ROAD WORKS GAIN MOMENTUM AS COMMUNITIES RALLY BEHIND PROJECTS|Kabwata||Momentum is building around the 2025 CDF road projects in Kabwata, where paving works have become a visible sign of progress for residents who have long awaited improved infrastructure. The upgraded internal roads are beginning to reshape movement within the constituency, creating an atmosphere of optimism among commuters and local businesses. Residents highlight how the improved roads are transforming daily routines, making trips to schools, clinics, and workplaces faster and far more reliable. Meanwhile, both the Local authority and the Kabwata Constituency Development Fund Committee officials remain optimistic that the ongoing improvements will anchor Kabwata’s long-term development agenda|https://www.lcc.gov.zm/kabwata-cdf-road-works-gain-momentum-as-communities-rally-behind-projects/|2026-09-11
LCC-CDF-ARTICLE-002|7700|2025-11-25|LUSAKA PROVINCE MINISTER HANDS OVER NEWLY CONSTRUCTED KATAMBALALA MARKET IN MATERO, URGES FACILITY CARE AND MAINTENANCE|Matero|Lima Ward 30; Ward 30; in Lima Ward 30|A newly constructed Katambalala Railside Market shelter, built with support from the Constituency Development Fund (CDF) in Lima Ward 30 of Matero Constituency, has officially been handed over to the community. The facility built at a total cost of K1.6 million, is expected to provide trading spaces for more than 300 traders who previously conducted business under harsh conditions in the open, exposed to rains and scorching sun. Presiding over the handover ceremony today, Lusaka Province Minister Hon. Sheal Mulyata said the new market shelter will enhance comfort and dignity for traders, boost economic activities in the area, attract more customers, increase business confidence and contribute to household incomes, thereby supporting the global goal of poverty reduction and inclusive growth. Hon. Mulyata noted that government has continued to demonstrate its unwavering commitment to improving citizens’ welfare through effective utilisation of the CDF, highlighting the increase in CDF allocation to K40 million per constituency in the 2026 national budget. The Minister emphasised that communities now have the power to propose, identify, plan and implement projects that directly respond to their needs, adding that the market is a practical example of decentralisation working effectively when local priorities are respected and supported. She observed that for many years, traders in Lima Ward operated under difficult conditions, exposed to extreme weather and unsanitary environments, which not only made trading challenging but also compromised the quality of goods and the health and safety of both traders and customers, saying the facility has now transformed this situation. Hon. Mulyata further urged the market committee and local leadership to work closely with the Lusaka City Council to enforce good management practices, maintain sanitation and ensure equitable access to trading spaces, further advising traders to clean the market and its surroundings daily to prevent disease outbreaks. Lusaka District Commissioner expressed delight at the development, saying she was proud that CDF had delivered much-needed infrastructure in Lusaka, more than in any other province, pledging continued support towards development initiatives. Meanwhile, Lima Ward 30 Councillor Daniel Mwewa said his ward was privileged, for the first time since independence to have such a facility that will enable traders to conduct business in a conducive environment. Councillor Mwewa commended government for the initiative, noting that his ward has greatly benefited from CDF projects, including the procurement of 400 desks, construction of a 1×4 classroom block at George Primary School and establishment of a skills centre in Chitukuko area. By Nyambe Bulumba Assistant Public Relations Manager 19/11/25|https://www.lcc.gov.zm/lusaka-province-minister-hands-over-newly-constructed-katambalala-market-in-matero-urges-facility-care-and-maintenance/|2026-09-11
LCC-CDF-ARTICLE-003|7550|2025-11-17|IBEX ROAD REHABILITATION TAKES SHAPE!|||With a stretch of 3.4 km, Ibex Road is among the roads that have benefited from the 40.1 km rehabilitation of urban roads in Lusaka. The works are being supervised by the LCC’s Department of Engineering and Infrastructure Development. Check out the progress! 👇🏻👇🏻|https://www.lcc.gov.zm/ibex-road-rehabilitation-takes-shape/|2026-09-11
LCC-CDF-ARTICLE-004|7540|2025-11-17|GOVERNMENT HANDS OVER MARKET SHELTER AT GARDEN CHILULU MARKET|Mandevu|Chilulu Market in Ngwerere Ward 22; Ward 22|Lusaka District Commissioner, Dr. Rosa Kayuni Zulu, today officially handed over a newly constructed market shelter at Garden Chilulu Market in Ngwerere Ward 22, Mandevu Constituency. Represented by District Administrative Officer, Mr. On’eal Chiiya, Dr. Zulu described the project as a milestone in bringing development closer to the people, aligning with the Government’s Decentralization Policy and implemented through the Constituency Development Fund (CDF). Dr. Zulu highlighted that traders at Chilulu Market previously operated under harsh conditions, exposed to the elements and unsanitary environments. Ahe said the modern market shelter will transform the way business is conducted, providing a clean, safe and organized trading environment. At the same event, Mandevu Member of Parliament, Hon. Christopher Shakafuswa, expressed gratitude to President Hakainde Hichilema for his visionary leadership and commitment to community empowerment through the increased allocation of CDF. Hon. Shakafuswa is of the view that the enhanced CDF allocation has enabled constituencies to undertake projects that benefit the people and improve their livelihoods. The modern market shelter, constructed at a total cost of K818,546.12 is expected to accommodate over 48 traders. By Rose C. Samiselo|https://www.lcc.gov.zm/government-hands-over-market-shelter-at-garden-chilulu-market/|2026-09-11
LCC-CDF-ARTICLE-005|7525|2025-11-17|LCC TO LAUNCH TWO NEW MINI-CIVIC CENTRES IN MATERO AND KANYAMA|Kanyama; Matero||The Lusaka City Council (LCC) is pleased to announce the nearing completion of two mini-civic centres in Matero and Kanyama constituencies. As part of the Council’s decentralization project aimed at bringing essential services closer to the communities, these centres will provide residents with easy access to various civic services once furnished and operational. The LCC has made significant progress in the procurement process for furnishing the two centres, and they are expected to commence operations soon. This development is in line with the Council’s strategic plan to establish mini-civic centres across all seven constituencies in the city, thereby enhancing service delivery and improving the overall quality of life for Lusaka residents. Below 👇🏻👇🏻is Matero Mini-Civic Centre|https://www.lcc.gov.zm/lcc-to-launch-two-new-mini-civic-centres-in-matero-and-kanyama/|2026-09-11
LCC-CDF-ARTICLE-006|7514|2025-11-17|GET TRAINED, GET EMPOWERED THROUGH CDF|||The video below 👇🏻 👇🏻 Lusaka Town Clerk Eng. Liftery Ndaba interacts with talented students from class of Auto Mechanics program at Dzitandizani Trade School, a skills training center under the Lusaka City Council. We are proud to highlight their hard work and dedication as they acquire practical skills for a better future. We encourage all youths to take advantage of this opportunity and register for the 2026 Constituency Development Fund (CDF) to empower themselves through hands on training and education. #cdf #skills #automotive|https://www.lcc.gov.zm/get-trained-get-empowered-through-cdf/|2026-09-11
LCC-CDF-ARTICLE-007|7410|2025-10-22|SECOND CDF-FUNDED CLASSROOM BLOCK AT KABANANA PRIMARY SCHOOL ALMOST COMPLETE|Mandevu||The construction of a 1×4 classroom block at Kabanana Primary School in Mandevu Constituency, funded through the Constituency Development Fund (CDF), has reached an advanced stage, with works currently standing at 85 percent completion. The project, valued at over K1.5 million, is structured in two phases. Phase One has been successfully completed, covering key structural components including flooring, plastering, roofing, window frame installation, and partial ceiling works. Phase Two is scheduled to commence next week and will focus on final finishes and fittings to bring the block to full operational readiness. Once completed, the new classroom block will significantly reduce congestion at the school, thereby enhancing the teaching and learning environment for both pupils and staff. This development marks the second classroom block constructed at Kabanana Primary School through the CDF, reinforcing the Council’s dedication to improving educational infrastructure across Lusaka District. The Council is impressed that the contractor, AGADA ZM Constructions Limited, is dedicated to completing the project on time and has adhered to the project’s terms of reference to ensure that the structure meets the expected standards and is durable and fit for purpose. The Council also calls upon the school management and the surrounding community to take collective responsibility in safeguarding this infrastructure against vandalism and misuse. Public assets must be protected to ensure their long-term benefit. The Lusaka City Council remains committed to fostering inclusive development and strengthening the education system through strategic investments in infrastructure to ensure building a resilient and empowered community. Issued by Chola Mwamba Public Relations Manager Lusaka City Council (LCC) 06/10/2025|https://www.lcc.gov.zm/second-cdf-funded-classroom-block-at-kabanana-primary-school-almost-complete/|2026-09-11
LCC-CDF-ARTICLE-008|7407|2025-10-22|CDF-FUNDED MADIMBA WATER RETICULATION PROJECT OFFICIALLY HANDED OVER|Matero|Project in Mwembeshi Ward 31; Ward 31|The Madimba Water Reticulation Project in Mwembeshi Ward 31 of Matero Constituency has officially been handed over to the community, following its successful completion under the 2023 Constituency Development Fund (CDF). Lusaka District Commissioner, Dr. Rosa Zulu, who was represented by District Administrative Officer Mr. O’Neal, presided over the handover ceremony held earlier today. Dr. Zulu commended the community for selecting a project that directly addresses a critical need, noting that the initiative will significantly improve water access in the area. She disclosed that the project, valued at K383,529.50, comprises two solar-powered boreholes installed at Dina Kayimba and Chunga Secondary School. “By investing in water infrastructure, the government is not only meeting a basic human need but also enhancing the overall well-being and productivity of the community,” Dr. Zulu stated. Matero Member of Parliament, Hon. Miles Sampa expressed satisfaction with the development, describing it as a timely intervention to address persistent water challenges in the Ward. Hon. Sampa noted that the use of solar-powered boreholes would ensure uninterrupted water supply, even during power outages. He further urged residents to safeguard the infrastructure to ensure its sustainability and long-term benefit to the community.|https://www.lcc.gov.zm/cdf-funded-madimba-water-reticulation-project-officially-handed-over/|2026-09-11
LCC-CDF-ARTICLE-009|7404|2025-10-22|BAULENI MINI HOSPITAL POISED FOR MAJOR CONSTRUCTION WITH NEW MATERNITY WING AND MORTUARY|Lusaka Central||Bauleni township is on the verge of a healthcare breakthrough as two key Constituency Development Fund (CDF) projects near completion at the Bauleni Mini Hospital in Lusaka Central Constituency. The projects fully funded under CDF, include the construction of a new Maternity Wing (Phase 1), being undertaken by Lewdan Investments Limited at a cost of K720,000, and the construction of a Mortuary, carried out by Rockfield Contractors Limited at a cost of K945,510. Both projects are at 90 percent completion. Once completed, the maternity wing will significantly improve maternal and child healthcare in the area, while the mortuary will be a historic first for Bauleni township, which has never had such a facility. The mortuary is expected to bring dignity to families and communities during difficult times, reducing the burden of transporting deceased loved ones to faraway facilities. Bauleni Mini Hospital already serves a population of over 4,000 people with 150 staff across various departments, including radiology, physiotherapy, and inpatient care. The new additions will not only expand the scope of services but also strengthen the hospital’s capacity to meet the growing healthcare demands of the community. These CDF investments are a clear demonstration of government’s commitment to improving access to quality health services at the community level. Residents of Bauleni and surrounding areas are set to benefit immensely once the facilities are officially opened.|https://www.lcc.gov.zm/bauleni-mini-hospital-poised-for-major-construction-with-new-maternity-wing-and-mortuary/|2026-09-11
LCC-CDF-ARTICLE-010|7402|2025-10-10|MASSIVE ROAD CONSTRUCTION PROJECTS UNDERWAY IN LUSAKA AND NEIGHBORING DISTRICTS|||Lusaka and its neighboring districts are currently undergoing a significant infrastructure facelift through various developmental projects, particularly in urban road rehabilitation and construction. Through different funding mechanisms, including the Constituency Development Fund (CDF) and other financial support from the central government, massive road upgrades are being extensively undertaken in Lusaka and neighboring districts. One of the roads being rehabilitated is the Great North Road. These projects aim to improve the city’s infrastructure, enhance road safety, and boost economic development. A safe and reliable road network is crucial for the transportation of people and goods, and the Council believes that these road works will have a positive impact on the city’s business environment. Some of the major roads currently under construction include the 40.1 km rehabilitation of urban roads, such as: Great East Road Acacia Road Ibex Road Main Street Simon Mwansa Kapwepwe Road Kamanga-Kapiliomba Road Once completed, these roads will improve the lives of citizens and create a conducive environment for businesses. The Council urges the public to bear with us during this period of construction and cooperate as we work towards delivering a better Lusaka for all. By Chola Mwamba|https://www.lcc.gov.zm/massive-road-construction-projects-underway-in-lusaka-and-neighboring-districts/|2026-09-11
LCC-CDF-ARTICLE-011|7389|2025-10-10|Works are underway to pave some roads in Kabwata Constituency.|Kabwata||Works are underway to pave some roads in Kabwata Constituency. This will undoubtedly improve infrastructure, ease transportation, and enhance residents’ quality of life once completed. These works are funded through the CDF.|https://www.lcc.gov.zm/works-are-underway-to-pave-some-roads-in-kabwata-constituency/|2026-09-11
LCC-CDF-ARTICLE-012|7369|2025-09-24|LUSAKA PROVINCIAL LOCAL GOVERNMENT OFFICER LAUDS CDF PROJECTS IN MATERO CONSTITUENCY|Matero||Lusaka Provincial Local Government Officer Charlston Hamulyata has expressed satisfaction with the effective implementation of Constituency Development Fund (CDF) projects in Matero Constituency. Leading a team of Lusaka City Council (LCC) CDF monitoring officers, Mr. Hamulyata said the carefully implemented projects will greatly benefit the community as they directly align with their needs. With CDF now decentralised, Mr. Hamulyata noted that the fund has become a game-changer for local development as communities are fully involved in identifying projects to be implemented. He said the initiative has been instrumental in driving development in Matero Constituency, with notable projects including infrastructure development, water and sanitation improvements, road rehabilitation and skills center facilities. Some of the specific projects visited by the team included the Kapwepwe Maternity block, classroom blocks at Desai Primary School and Chitanda School, a vegetable shelter at Mwamba Luchembe market and an ablution block at Edwin Mulongoti School. Mr. Hamulyata also encouraged students to take advantage of the skills development component of the CDF, urging them to apply for courses that will empower them to start their own businesses rather than waiting for employment. “This initiative aligns with the government’s vision to equip citizens with skills that will enable them to generate their own income,” he said. The Provincial Local Government Officer earlier this year, approved K17.6 million for 2025 CDF community projects in Matero Constituency, aimed at improving public infrastructure and services. The LCC team assured the community that all approved projects will be executed with high standards of quality and within agreed timeframes, underscoring the council’s dedication to bringing meaningful development to Matero Constituency. This demonstrates the government’s commitment to enhancing the lives of residents by providing access to better education, healthcare, security and public amenities.|https://www.lcc.gov.zm/lusaka-provincial-local-government-officer-lauds-cdf-projects-in-matero-constituency/|2026-09-11
LCC-CDF-ARTICLE-013|7362|2025-09-24|Hon. Christopher Shakafuswa Monitors Progress of CDF Projects in Mandevu Constituency|Mandevu||Mandevu Constituency Member of Parliament Hon. Christopher Shakafuswa, today undertook a comprehensive monitoring and evaluation exercise of ongoing projects funded under the Constituency Development Fund (CDF). This initiative underscores his commitment to promoting good governance, transparency, and accountability in the utilization of public resources. The monitoring tour covered key infrastructure developments aimed at improving service delivery and the quality of life for residents of Mandevu. Projects inspected included: The construction of a maternity wing at Kabanana Health Post A mother’s shelter at Mandevu Clinic The ongoing Kasangula drainage works, and A 1×4 classroom block at Mutambe Primary School. Speaking during the tour, Hon. Shakafuswa emphasized the importance of ensuring that CDF-funded projects are implemented efficiently, meet the required standards, and serve the intended purpose for the community. The MP also encouraged community members to take an active role in monitoring local projects to strengthen civic participation and ownership.|https://www.lcc.gov.zm/hon-christopher-shakafuswa-monitors-progress-of-cdf-projects-in-mandevu-constituency/|2026-09-11
