record_id|financial_year|constituency|ward|project_name|project_category|project_description|approved_budget_zmw|amount_disbursed_zmw|amount_spent_zmw|project_status|completion_percentage|approval_date|completion_date|beneficiaries|contractor|source_title|source_url|date_accessed|notes
LCC-CDF-CAND-001|2025|Kabwata||KABWATA CDF ROAD WORKS GAIN MOMENTUM AS COMMUNITIES RALLY BEHIND PROJECTS|Health infrastructure|Momentum is building around the 2025 CDF road projects in Kabwata, where paving works have become a visible sign of progress for residents who have long awaited improved infrastructure. The upgraded internal roads are beginning to reshape movement within the constituency, creating an atmosphere of optimism among commuters and local businesses. Residents highlight how the improved roads are transforming daily routines, making trips to schools, clinics, and workplaces faster and far more...||||Unknown||||||KABWATA CDF ROAD WORKS GAIN MOMENTUM AS COMMUNITIES RALLY BEHIND PROJECTS|https://www.lcc.gov.zm/kabwata-cdf-road-works-gain-momentum-as-communities-rally-behind-projects/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-002|2025|Matero|Lima Ward 30; Ward 30; in Lima Ward 30|LUSAKA PROVINCE MINISTER HANDS OVER NEWLY CONSTRUCTED KATAMBALALA MARKET IN MATERO, URGES FACILITY CARE AND MAINTENANCE|Education infrastructure|A newly constructed Katambalala Railside Market shelter, built with support from the Constituency Development Fund (CDF) in Lima Ward 30 of Matero Constituency, has officially been handed over to the community. The facility built at a total cost of K1.6 million, is expected to provide trading spaces for more than 300 traders who previously conducted business under harsh conditions in the open, exposed to rains and scorching sun. Presiding over the handover ceremony today, Lusaka Province...||||Handed over||||||LUSAKA PROVINCE MINISTER HANDS OVER NEWLY CONSTRUCTED KATAMBALALA MARKET IN MATERO, URGES FACILITY CARE AND MAINTENANCE|https://www.lcc.gov.zm/lusaka-province-minister-hands-over-newly-constructed-katambalala-market-in-matero-urges-facility-care-and-maintenance/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-003|2025|||IBEX ROAD REHABILITATION TAKES SHAPE!|Road infrastructure|With a stretch of 3.4 km, Ibex Road is among the roads that have benefited from the 40.1 km rehabilitation of urban roads in Lusaka. The works are being supervised by the LCC’s Department of Engineering and Infrastructure Development. Check out the progress! 👇🏻👇🏻||||Unknown||||||IBEX ROAD REHABILITATION TAKES SHAPE!|https://www.lcc.gov.zm/ibex-road-rehabilitation-takes-shape/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-004|2025|Mandevu|Chilulu Market in Ngwerere Ward 22; Ward 22|GOVERNMENT HANDS OVER MARKET SHELTER AT GARDEN CHILULU MARKET|Market infrastructure|Lusaka District Commissioner, Dr. Rosa Kayuni Zulu, today officially handed over a newly constructed market shelter at Garden Chilulu Market in Ngwerere Ward 22, Mandevu Constituency. Represented by District Administrative Officer, Mr. On’eal Chiiya, Dr. Zulu described the project as a milestone in bringing development closer to the people, aligning with the Government’s Decentralization Policy and implemented through the Constituency Development Fund (CDF). Dr. Zulu highlighted that traders at...||||Handed over||||||GOVERNMENT HANDS OVER MARKET SHELTER AT GARDEN CHILULU MARKET|https://www.lcc.gov.zm/government-hands-over-market-shelter-at-garden-chilulu-market/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-005|2025|Kanyama; Matero||LCC TO LAUNCH TWO NEW MINI-CIVIC CENTRES IN MATERO AND KANYAMA|Community infrastructure|The Lusaka City Council (LCC) is pleased to announce the nearing completion of two mini-civic centres in Matero and Kanyama constituencies. As part of the Council’s decentralization project aimed at bringing essential services closer to the communities, these centres will provide residents with easy access to various civic services once furnished and operational. The LCC has made significant progress in the procurement process for furnishing the two centres, and they are expected to commence...||||Near completion||||||LCC TO LAUNCH TWO NEW MINI-CIVIC CENTRES IN MATERO AND KANYAMA|https://www.lcc.gov.zm/lcc-to-launch-two-new-mini-civic-centres-in-matero-and-kanyama/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-006|2025|||GET TRAINED, GET EMPOWERED THROUGH CDF|Education infrastructure|The video below 👇🏻 👇🏻 Lusaka Town Clerk Eng. Liftery Ndaba interacts with talented students from class of Auto Mechanics program at Dzitandizani Trade School, a skills training center under the Lusaka City Council. We are proud to highlight their hard work and dedication as they acquire practical skills for a better future. We encourage all youths to take advantage of this opportunity and register for the 2026 Constituency Development Fund (CDF) to empower themselves through hands on training...||||Unknown||||||GET TRAINED, GET EMPOWERED THROUGH CDF|https://www.lcc.gov.zm/get-trained-get-empowered-through-cdf/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-007|2025|Mandevu||SECOND CDF-FUNDED CLASSROOM BLOCK AT KABANANA PRIMARY SCHOOL ALMOST COMPLETE|Education infrastructure|The construction of a 1×4 classroom block at Kabanana Primary School in Mandevu Constituency, funded through the Constituency Development Fund (CDF), has reached an advanced stage, with works currently standing at 85 percent completion. The project, valued at over K1.5 million, is structured in two phases. Phase One has been successfully completed, covering key structural components including flooring, plastering, roofing, window frame installation, and partial ceiling works. Phase Two is...||||Completed||||||SECOND CDF-FUNDED CLASSROOM BLOCK AT KABANANA PRIMARY SCHOOL ALMOST COMPLETE|https://www.lcc.gov.zm/second-cdf-funded-classroom-block-at-kabanana-primary-school-almost-complete/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-008|2025|Matero|Project in Mwembeshi Ward 31; Ward 31|CDF-FUNDED MADIMBA WATER RETICULATION PROJECT OFFICIALLY HANDED OVER|Education infrastructure|The Madimba Water Reticulation Project in Mwembeshi Ward 31 of Matero Constituency has officially been handed over to the community, following its successful completion under the 2023 Constituency Development Fund (CDF). Lusaka District Commissioner, Dr. Rosa Zulu, who was represented by District Administrative Officer Mr. O’Neal, presided over the handover ceremony held earlier today. Dr. Zulu commended the community for selecting a project that directly addresses a critical need, noting that...||||Handed over||||||CDF-FUNDED MADIMBA WATER RETICULATION PROJECT OFFICIALLY HANDED OVER|https://www.lcc.gov.zm/cdf-funded-madimba-water-reticulation-project-officially-handed-over/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-009|2025|Lusaka Central||BAULENI MINI HOSPITAL POISED FOR MAJOR CONSTRUCTION WITH NEW MATERNITY WING AND MORTUARY|Health infrastructure|Bauleni township is on the verge of a healthcare breakthrough as two key Constituency Development Fund (CDF) projects near completion at the Bauleni Mini Hospital in Lusaka Central Constituency. The projects fully funded under CDF, include the construction of a new Maternity Wing (Phase 1), being undertaken by Lewdan Investments Limited at a cost of K720,000, and the construction of a Mortuary, carried out by Rockfield Contractors Limited at a cost of K945,510. Both projects are at 90 percent...||||Completed||||||BAULENI MINI HOSPITAL POISED FOR MAJOR CONSTRUCTION WITH NEW MATERNITY WING AND MORTUARY|https://www.lcc.gov.zm/bauleni-mini-hospital-poised-for-major-construction-with-new-maternity-wing-and-mortuary/|2026-09-11|Automatically extracted candidate; requires manual verification.
LCC-CDF-CAND-010|2025|||MASSIVE ROAD CONSTRUCTION PROJECTS UNDERWAY IN LUSAKA AND NEIGHBORING DISTRICTS|Road infrastructure|Lusaka and its neighboring districts are currently undergoing a significant infrastructure facelift through various developmental projects, particularly in urban road rehabilitation and construction. Through different funding mechanisms, including the Constituency Development Fund (CDF) and other financial support from the central government, massive road upgrades are being extensively undertaken in Lusaka and neighboring districts. One of the roads being rehabilitated is the Great North Road....||||Completed||||||MASSIVE ROAD CONSTRUCTION PROJECTS UNDERWAY IN LUSAKA AND NEIGHBORING DISTRICTS|https://www.lcc.gov.zm/massive-road-construction-projects-underway-in-lusaka-and-neighboring-districts/|2026-09-11|Automatically extracted candidate; requires manual verification.
