|NAME: LUSAKA CITY COUNCIL|||||||||||
|2026  PERFORMANCE REPORT|||Period: 01-Jan-2026 to 30-Jun-2026||||||||
|REVENUE SOURCES|||||||||||
|#|Receipts|Budget|Actual|Varinace|Performance||||||
||||as at 30-Jun- 2026||||||||
|||a|b|c=a-b|b/a||||||
|||ZMW|ZMW|ZMW|%||||||
|1|National Support||||||||||
||1.1 Local Government Equalisation Fund|32400000|0|32400000|0||||||
||1.2 Grants In Lieu of Rates|2000000|0|2000000|0||||||
||1.3 Sector Grants|33486606|3022899|30463707|0.09027188363012961||||||
||1.4 ZDSP Capital Grants|0|0|0|0||||||
||1.5 Constituency Development Fund|280227849|94769234|185458615|0.3381863520638165||||||
||1.6 Other Grants|59563160|70072789|-10509629|1.1764451214475524||||||
||Sub - total|407677615|167864922|239812693|0.41175898755196555||||||
|2|Own Source Revenue||||||||||
||2.1 Local Taxes|430562099|113685851.17999998|316876247.82000005|0.26404054477632966||||||
||2.2 Fee & Charges|113446369|58118960|55327409|0.5123033950958801||||||
||2.3 Licences|6495717|3474059|3021658|0.534823022616287||||||
||2.4 Levies|65727602|27261879|38465723|0.41477063167465017||||||
||2.5 Permits|93423792|43734213|49689579|0.4681271447427439||||||
||2.6 Commercial ventures|16606500|3000000|13606500|0.18065215427693976||||||
||2.7 Others OSR|18055000|2483963|15571037|0.1375775685405705||||||
||Sub - total|744317079|251758925.17999998|492558153.82000005|0.33824149987024543||||||
|3|Other revenue||||||||||
||4.1 Bank interest received|0|0|0|0||||||
||4.2 Borrowings - Loans|0|0|0|0||||||
||4.2 Borrowings - Overdraft|0|0|0|0||||||
||4.3 Others|0|0|0|0||||||
||Sub - total|0|0|0|0||||||
|Total||1151994694|419623847.17999995|732370846.82|0.36425848952738316||||||
|PAYMENTS |||||||||||
|#|Expenditure|Budget|Actual|Varinace|Performance||||||
||||as at 30-Jun- 2026||||||||
|||a|b|c=a-b|b/a||||||
|||ZMW|ZMW|ZMW|%||||||
|1|Personal emoluments|308215045|163308295.01000002|144906749.98999998|0.5298517955539777||||||
|2|Use of goods and services|308441876|59610341.61|248831534.39|0.19326280329717616||||||
|3|Financial charges|0|0|0|0||||||
|4|Social benefits|123936977|59410765.01999999|64526211.98000001|0.47936270883870263||||||
|5|Non-financial assets|332565437|61032984.22|271532452.78|0.18352172964985533||||||
|6|Financial assets|29636525|227855|29408670|0.007688317034470134||||||
|7|Loan repayments|0|0|0|0||||||
|8|Other repayments|49198834|30956339.31|18242494.69|0.6292088001516458||||||
|Total payments||1151994694|374546580.17|777448113.83|0.32512873724225677||||||
|Net Budget Performance||0|45077267.00999993|0|||||||
||DEBT and ARREARS||||||||||
||Narration|OUTSTANDING AMOUNTS|OUTSTANDING AMOUNTS||||||||
|||2026-01-01 00:00:00|2026-06-30 00:00:00||||||||
|||ZMW|ZMW||||||||
|| PE'S |43115587|36366697||||||||
|| ZAMTEL |665782|665782||||||||
|| ZESCO |8556627|8556627||||||||
|| WATER  |8272063|8394665||||||||
||LEGAL COSTS|1417085|622027||||||||
||NAPSA ARREARS|491519925|491530235||||||||
||NAPSA ARREARS - PENALTIES|0|0||||||||
||LASF ARREARS|43637735|38934225||||||||
||LASF ARREARS - PENALTIES|0|0||||||||
||OTHER PENSION ARREARS |0|0||||||||
||OTHER PENSIONS ARREARS - PENALTIES |0|0||||||||
|| ZRA PAYE |242201985|254867369||||||||
|| ZRA - PENALTIES |0|0||||||||
|| GOODS & SERVICES |9280120|11713946||||||||
|| CAPITAL |7129828|20556029.99700002||||||||
||Total|855796737|872207602.997||||||||
||PERFORMANCE REVIEW BY PROGRAMME||||||||||
||PROGRAMME / KEY OUTPUT / INDICATOR|ANNUAL BUDGET (ZMW)|TARGET 2026|ACTUAL EXP. AS AT REPORT DATE (ZMW)|ACTUAL 2026 (OUTPUT)|VARIANCE||PERCENTAGE|||
||Constituency Development|280227849||74809937.83||-205417911.17000002|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Annual Budget|Actual Output 2026|Performance|||
||Road & Drainage Infrastructure Improved||||||||||
||    Kilometres of township roads paved||15||0|0|-15|0|||
||    Kilometres of drainage systems constructed||2||0|0|-2|0|||
||Education Infrastructure Improved||||||||||
||    Number of classroom blocks constructed||6||1|0|-5|0.16666666666666666|||
||    Number of School ablution blocks constructed||4||1|0|-3|0.25|||
||Health Infrastructure Developed||||||||||
||    Number of Out-Patient Departments constructed||1||0|0|-1|0|||
||    Number of maternity wings / annexes constructed||2||0|0|-2|0|||
||    Number of hospital shelters constructed||1||0|0|-1|0|||
||Security Infrastructure Improved||||||||||
||    Number of police posts constructed||4||0|0|-4|0|||
||    Number of police stations constructed||1||0|0|-1|0|||
