Year|Type|Line_Item|Original_Budget|Adjustments|Final_Budget|Actual_Amount|Performance_Pct|Variance_Kwacha|Variance_Pct
2020|Receipts|Local Taxes|112173025|-26934604|85238421|77809072|91|-7429349|-9
2020|Receipts|Fees and Charges|127514989|-35683485|91831504|75819053|83|-16012451|-17
2020|Receipts|Licenses|25916375|-9029642|16886733|4484048|27|-12402685|-73
2020|Receipts|Levies|49533144|0|49533144|37330183|75|-12202961|-25
2020|Receipts|Permits|8815870|-113937|8701933|18045106|207|9343173|107
2020|Receipts|Local Government Equalisation Fund|46800000|2103058|48903058|41930527|86|-6972531|-14
2020|Receipts|Constituency Development Fund|11200000|0|11200000|13627169|122|2427169|22
2020|Receipts|Commercial Venture|13200000|-3960000|9240000|1336963|14|-7903037|-86
2020|Payments|Personal Emoluments|209133592|-17989999|191143593|176172045|92|14971548|8
2020|Payments|Use of Goods and Services|145517821|-45533441|99984380|53183704|53|46800676|47
2021|Receipts|Local Taxes|89125342|0|89125342|87638102|98|-1487240|-2
2021|Receipts|Fees and Charges|99161526|0|99161526|77102688|78|-22058838|-22
2021|Receipts|Licenses|23973330|0|23973330|3392653|14|-20580677|-86
2021|Receipts|Levies|51141174|0|51141174|45380698|89|-5760476|-11
2021|Receipts|Permits|12859574|0|12859574|25475099|196|12615525|96
2021|Receipts|Local Government Equalisation Fund|48903058|0|48903058|42742397|87|-6160661|-13
2021|Receipts|Constituency Development Fund|11200000|0|11200000|11709221|105|509221|5
2022|Receipts|Local Taxes|140166973|15000000|155166973|105543585|68|-49623388|-32
2022|Receipts|Fees and Charges|84634886|6915647|91550533|76024653|83|-15525880|-17
2022|Receipts|Licenses|33439136|0|33439136|5340513|16|-28098623|-84
2022|Receipts|Levies|77721010|0|77721010|44164671|57|-33556339|-43
2022|Receipts|Permits|19383744|0|19383744|34693517|179|15309773|79
2022|Receipts|Local Government Equalisation Fund|48903058|0|48903058|43202676|88|-5700382|-12
2022|Receipts|Constituency Development Fund|179900000|279376|180179376|168315692|93|-11863684|-7
2023|Receipts|Local Taxes|135171979|0|135171979|86342712|64|-48829267|-36
2023|Receipts|Fees and Charges|130204748|0|130204748|133779291|103|3574543|3
2023|Receipts|Licenses|12676915|0|12676915|4367999|34|-8308916|-66
2023|Receipts|Levies|62725010|0|62725010|42514418|68|-20210592|-32
2023|Receipts|Permits|41259165|0|41259165|62707520|152|21448355|52
2023|Receipts|Local Government Equalisation Fund|48903058|0|48903058|35910431|73|-12992627|-27
2023|Receipts|Constituency Development Fund|198100000|0|198100000|194977478|98|-3122522|-2
