Year|Category|Sub_Item|Amount_Kwacha
2020|Personal Emoluments|Salaries - Div I|10004482
2020|Personal Emoluments|Salaries - Div II|26348701
2020|Personal Emoluments|Salaries - Div III|29991051
2020|Personal Emoluments|Wages - Division IV|62573156
2020|Use of Goods and Services|Total Use of Goods and Services|53183704
2020|Provision of Services|Waste and Refuse Collection|5520082
2020|Provision of Services|Hire of Plant and Equipment|2310361
2020|Provision of Services|Staff Welfare and Recreation|1741212
2020|Financial Charges|Bank Charges and Interest|4381455
2020|Grants and Transfers|Grants & Other Payments|132680
2020|Assets Acquisition|Non-Financial Assets Acquisition|7111459
2020|Loan Repayments|Principal Debt Repayments|6796193
2020|Other Payments|Miscellaneous Expenses|21001119
2021|Personal Emoluments|Salaries - Div I|8762958
2021|Personal Emoluments|Salaries - Div II|30748721
2021|Personal Emoluments|Salaries - Div III|32864667
2021|Personal Emoluments|Wages - Division IV|61918934
2021|Use of Goods and Services|Total Use of Goods and Services|104730796
2021|Provision of Services|Hire of Plant and Equipment|4038326
2021|Provision of Services|Staff Welfare and Recreation|3520735
2021|Financial Charges|Bank Charges and Interest|3246379
2021|Assets Acquisition|Non-Financial Assets Acquisition|10869216
2021|Loan Repayments|Principal Debt Repayments|7911457
2021|Other Payments|Miscellaneous Expenses|42907068
2022|Personal Emoluments|Salaries - Div I|28162762
2022|Personal Emoluments|Salaries - Div II|32714438
2022|Personal Emoluments|Salaries - Div III|53012445
2022|Personal Emoluments|Wages - Division IV|85859810
2022|Use of Goods and Services|Total Use of Goods and Services|115173995
2022|Provision of Services|Waste and Refuse Collection|1235059
2022|Provision of Services|Hire of Plant and Equipment|5049852
2022|Provision of Services|Staff Welfare and Recreation|3812542
2022|Financial Charges|Bank Charges and Interest|843021
2022|Assets Acquisition|Non-Financial Assets Acquisition|7428105
2022|Loan Repayments|Principal Debt Repayments|6216243
2022|Other Payments|Miscellaneous Expenses|5204606
2023|Personal Emoluments|Total Personal Emoluments & Welfare|328133478
2023|Use of Goods and Services|Total Use of Goods and Services|93890942
2023|Provision of Services|Waste and Refuse Collection|516960
2023|Provision of Services|Hire of Plant and Equipment|2153166
2023|Provision of Services|Staff Welfare and Recreation|2800820
2023|Financial Charges|Bank Charges and Interest|70906
2023|Social Benefits|Social & Community Support|41577221
2023|Assets Acquisition|Non-Financial Assets Acquisition|26328756
2023|Financial Assets|Financial Assets Acquisition|11865081
2023|Loan Repayments|Principal Debt Repayments|1095423
2023|Other Payments|Miscellaneous Expenses|2820698
