Year|Category|Line_Item|Amount_Kwacha
2020|Receipts|Local Taxes|77809072
2020|Receipts|Fees and Charges|75819053
2020|Receipts|Licences|4484048
2020|Receipts|Levies|37330183
2020|Receipts|Permits|18045106
2020|Receipts|Local Government Equalisation Fund|41930527
2020|Receipts|Constituency Development Fund|13627169
2020|Receipts|Other Grants|0
2020|Receipts|Borrowings|0
2020|Receipts|Commercial Venture|1336963
2020|Receipts|Other Receipts|0
2020|Summary|Total Receipts|270382122
2020|Payments|Personal Emoluments|176172045
2020|Payments|Use of Goods and Services|53183704
2020|Payments|Financial Charges|4381455
2020|Payments|Grants and Other Payments|132680
2020|Payments|Non-Financial Assets Acquisition|7111459
2020|Payments|Financial Assets|0
2020|Payments|Loan Repayments|6796193
2020|Payments|Other Payments|21001119
2020|Summary|Total Payments|268778655
2020|Summary|Increase/(Decrease) in Cash|1603467
2020|Summary|Cash at Beginning of Year|9776904
2020|Summary|Cash at End of Year|11380371
2021|Receipts|Local Taxes|87638102
2021|Receipts|Fees and Charges|77102688
2021|Receipts|Licences|3392653
2021|Receipts|Levies|45380698
2021|Receipts|Permits|25475099
2021|Receipts|Local Government Equalisation Fund|42742397
2021|Receipts|Constituency Development Fund|11709221
2021|Receipts|Other Grants|349942
2021|Receipts|Borrowings|0
2021|Receipts|Commercial Venture|3230000
2021|Receipts|Other Receipts|64204581
2021|Summary|Total Receipts|361225380
2021|Payments|Personal Emoluments|198347001
2021|Payments|Use of Goods and Services|104730796
2021|Payments|Financial Charges|3246379
2021|Payments|Social Benefits|0
2021|Payments|Non-Financial Assets Acquisition|10869216
2021|Payments|Financial Assets|0
2021|Payments|Loan Repayments|7911457
2021|Payments|Other Payments|42907068
2021|Summary|Total Payments|368011917
2021|Summary|Increase/(Decrease) in Cash|-6786537
2021|Summary|Cash at Beginning of Year|11380371
2021|Summary|Cash at End of Year|4593834
2022|Receipts|Local Taxes|105543585
2022|Receipts|Fees and Charges|76024653
2022|Receipts|Licences|5340513
2022|Receipts|Levies|44164671
2022|Receipts|Permits|34693517
2022|Receipts|Local Government Equalisation Fund|43202676
2022|Receipts|Constituency Development Fund|168315692
2022|Receipts|Other Grants|0
2022|Receipts|Borrowings|27000000
2022|Receipts|Commercial Venture|6988153
2022|Receipts|Other Receipts|5874366
2022|Summary|Total Receipts|517147828
2022|Payments|Personal Emoluments|201513358
2022|Payments|Use of Goods and Services|115173995
2022|Payments|Financial Charges|843021
2022|Payments|Social Benefits|0
2022|Payments|Non-Financial Assets Acquisition|7428105
2022|Payments|Financial Assets|0
2022|Payments|Loan Repayments|6216243
2022|Payments|Other Payments|5204606
2022|Summary|Total Payments|336379328
2022|Summary|Increase/(Decrease) in Cash|180768500
2022|Summary|Cash at Beginning of Year|4593834
2022|Summary|Cash at End of Year|185362334
2023|Receipts|Local Taxes|86342712
2023|Receipts|Fees and Charges|133779291
2023|Receipts|Licences|4367999
2023|Receipts|Levies|42514418
2023|Receipts|Permits|62707521
2023|Receipts|Local Government Equalisation Fund|35910430
2023|Receipts|Constituency Development Fund|194977478
2023|Receipts|Other Grants|6967563
2023|Receipts|Borrowings|0
2023|Receipts|Commercial Venture|2700000
2023|Receipts|Other Receipts|2438962
2023|Summary|Total Receipts|572706375
2023|Payments|Personal Emoluments|328133478
2023|Payments|Use of Goods and Services|93890942
2023|Payments|Financial Charges|70906
2023|Payments|Social Benefits|41577221
2023|Payments|Non-Financial Assets Acquisition|26328756
2023|Payments|Financial Assets|11865081
2023|Payments|Loan Repayments|1095423
2023|Payments|Other Payments|2820698
2023|Summary|Total Payments|505782505
2023|Summary|Increase/(Decrease) in Cash|66923870
2023|Summary|Cash at Beginning of Year|185362326
2023|Summary|Cash at End of Year|252286196
