Year|Section|Item|Amount_Kwacha
2020|Funding|Total Funding Received|41930527
2021|Funding|Total Funding Received|42742397
2022|Funding|Total Funding Received|43202676
2023|Funding|Total Funding Received|35910430
2020|Operational Expenditure|Salaries and Wages|17043255
2020|Operational Expenditure|Terminal Benefits|757133
2020|Operational Expenditure|Utility bills|200017
2020|Operational Expenditure|Service Provision|9468191
2020|Operational Expenditure|Goods and Services - Administrative Costs|4458836
2020|Operational Expenditure|Sub-Total Operational Expenditure|31927432
2021|Operational Expenditure|Salaries and Wages|21446183
2021|Operational Expenditure|Terminal Benefits|642982
2021|Operational Expenditure|Utility bills|904147
2021|Operational Expenditure|Service Provision|6146529
2021|Operational Expenditure|Goods and Services - Administrative Costs|1291262
2021|Operational Expenditure|Other Costs|3808553
2021|Operational Expenditure|Sub-Total Operational Expenditure|34239655
2022|Operational Expenditure|Salaries and Wages|8821474
2022|Operational Expenditure|Terminal Benefits|1878090
2022|Operational Expenditure|Utility bills|1215918
2022|Operational Expenditure|Service Provision|5339852
2022|Operational Expenditure|Goods and Services - Administrative Costs|10284354
2022|Operational Expenditure|Other Costs|5779177
2022|Operational Expenditure|Sub-Total Operational Expenditure|33318864
2023|Operational Expenditure|Salaries and Wages|19273241
2023|Operational Expenditure|Terminal Benefits|955536
2023|Operational Expenditure|Utility bills|525647
2023|Operational Expenditure|Service Provision|1470875
2023|Operational Expenditure|Goods and Services - Administrative Costs|9641081
2023|Operational Expenditure|Other Costs|2697583
2023|Operational Expenditure|Sub-Total Operational Expenditure|34563962
2020|Capital Expenditure|Infrastructure Development|1213890
2020|Capital Expenditure|Rehabilitation Works|526260
2020|Capital Expenditure|Service delivery (Capital)|1001190
2020|Capital Expenditure|Asset Acquisition|4720482
2020|Capital Expenditure|Sub-Total Capital Expenditure|7461823
2020|Total|Total LGEF Payments|39389255
2021|Capital Expenditure|Infrastructure Development|433952
2021|Capital Expenditure|Rehabilitation Works|697410
2021|Capital Expenditure|Service delivery (Capital)|229128
2021|Capital Expenditure|Asset Acquisition|7142251
2021|Capital Expenditure|Sub-Total Capital Expenditure|8502742
2021|Total|Total LGEF Payments|42742397
2022|Capital Expenditure|Infrastructure Development|25420
2022|Capital Expenditure|Rehabilitation Works|1438468
2022|Capital Expenditure|Service delivery (Capital)|643246
2022|Capital Expenditure|Asset Acquisition|4286922
2022|Capital Expenditure|Sub-Total Capital Expenditure|6394055
2022|Total|Total LGEF Payments|39712919
2023|Capital Expenditure|Infrastructure Development|1005895
2023|Capital Expenditure|Rehabilitation Works|484554
2023|Capital Expenditure|Service delivery (Capital)|2408874
2023|Capital Expenditure|Asset Acquisition|936902
2023|Capital Expenditure|Sub-Total Capital Expenditure|4836225
2023|Total|Total LGEF Payments|39400187
