Year|Stream|Sub_Item|Amount_Kwacha
2020|Local Taxes|Residential Rates|35300101
2020|Local Taxes|Industrial / Commercial Rates|39311429
2020|Local Taxes|Personal Levy|3197542
2020|Fees and Charges|Plan Scrutiny|10844646
2020|Fees and Charges|Market Fees|6154456
2020|Fees and Charges|Parking Fees|5581609
2020|Fees and Charges|Billboards and Banners|8929189
2020|Fees and Charges|Refuse Disposal|6377077
2020|Fees and Charges|Ground Rent/Site Rent|5895889
2020|Licenses|Trading Licenses|4484048
2020|Levies|Fire Levy|37330183
2020|Permits|Building Permits|18045106
2020|Grants|Local Government Equalisation Fund|41930527
2020|Grants|Constituency Development Fund|13627169
2020|Commercial Venture|Commercial Operations|1336963
2021|Local Taxes|Residential Rates|42042667
2021|Local Taxes|Industrial / Commercial Rates|42628407
2021|Local Taxes|Personal Levy|2967028
2021|Fees and Charges|Plan Scrutiny|10020731
2021|Fees and Charges|Market Fees|6271823
2021|Fees and Charges|Parking Fees|4811771
2021|Fees and Charges|Billboards and Banners|10499909
2021|Fees and Charges|Ground Rent/Site Rent|8990529
2021|Licenses|Trading Licenses|3392653
2021|Levies|Fire Levy|45380698
2021|Permits|Building Permits|25475099
2021|Grants|Local Government Equalisation Fund|42742397
2021|Grants|Constituency Development Fund|11709221
2021|Grants|Other Grants|349942
2021|Commercial Venture|Commercial Operations|3230000
2021|Other Receipts|Miscellaneous Income|64204581
2022|Local Taxes|Residential Rates|54713612
2022|Local Taxes|Industrial / Commercial Rates|47675208
2022|Local Taxes|Personal Levy|3154766
2022|Fees and Charges|Plan Scrutiny|12438026
2022|Fees and Charges|Market Fees|6279101
2022|Fees and Charges|Parking Fees|5065903
2022|Fees and Charges|Billboards and Banners|13405559
2022|Fees and Charges|Ground Rent/Site Rent|10591503
2022|Licenses|Trading Licenses|5340513
2022|Levies|Fire Levy|44164671
2022|Permits|Building Permits|34693517
2022|Grants|Local Government Equalisation Fund|43202676
2022|Grants|Constituency Development Fund|168315692
2022|Borrowings|Bank Borrowings|27000000
2022|Commercial Venture|Commercial Operations|6988153
2022|Other Receipts|Miscellaneous Income|5874366
2023|Local Taxes|Residential Rates|38190300
2023|Local Taxes|Industrial / Commercial Rates|45096356
2023|Local Taxes|Personal Levy|3056057
2023|Fees and Charges|Plan Scrutiny|12254027
2023|Fees and Charges|Market Fees|5768746
2023|Fees and Charges|Parking Fees|2248099
2023|Fees and Charges|Billboards and Banners|39433591
2023|Fees and Charges|Ground Rent/Site Rent|3590519
2023|Licenses|Trading Licenses|4367999
2023|Levies|Fire Levy|42514418
2023|Permits|Building Permits|62707521
2023|Grants|Local Government Equalisation Fund|35910430
2023|Grants|Constituency Development Fund|194977478
2023|Grants|Other Grants|6967563
2023|Commercial Venture|Commercial Operations|2700000
2023|Other Receipts|Miscellaneous Income|2438962
